,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
95,DEU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Germany,2012,Sex,22.0 [20.4-23.6],276,1,22.0,20.4,23.6
96,DJI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Djibouti,2012,Sex,10.7 [4.9-19.1],262,0,10.7,4.9,19.1
97,DJI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Djibouti,2012,Sex,3.4 [1.2-7.3],262,1,3.4,1.2,7.3
98,DMA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Dominica,2012,Sex,36.9 [31.4-42.7],212,0,36.9,31.4,42.7
99,DMA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Dominica,2012,Sex,12.7 [9.1-16.8],212,1,12.7,9.1,16.8
100,DNK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Denmark,2012,Sex,10.7 [9.6-11.9],208,0,10.7,9.6,11.9
101,DNK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Denmark,2012,Sex,14.4 [13.5-15.3],208,1,14.4,13.5,15.3
102,DOM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Dominican Republic,2012,Sex,27.3 [25.2-29.6],214,0,27.3,25.2,29.6
103,DOM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Dominican Republic,2012,Sex,17.3 [15.4-19.3],214,1,17.3,15.4,19.3
104,DZA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Algeria,2012,Sex,26.6 [23.9-29.3],12,0,26.6,23.9,29.3
105,DZA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Algeria,2012,Sex,11.1 [9.2-13.1],12,1,11.1,9.2,13.1
106,ECU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ecuador,2012,Sex,25.3 [23.5-27.1],218,0,25.3,23.5,27.1
107,ECU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ecuador,2012,Sex,14.7 [13.0-16.4],218,1,14.7,13.0,16.4
