,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
132,GMB,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Gambia,2012,Sex,25.6 [14.7-38.6],270,0,25.6,14.7,38.6
133,GMB,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Gambia,2012,Sex,17.4 [9.6-27.0],270,1,17.4,9.6,27.0
134,GNB,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guinea-Bissau,2012,Sex,20.9 [5.8-44.3],624,0,20.9,5.8,44.3
135,GNB,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guinea-Bissau,2012,Sex,16.5 [6.0-34.7],624,1,16.5,6.0,34.7
136,GNQ,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Equatorial Guinea,2012,Sex,26.1 [8.6-51.9],226,0,26.1,8.6,51.9
137,GNQ,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Equatorial Guinea,2012,Sex,16.8 [5.9-35.3],226,1,16.8,5.9,35.3
138,GRC,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Greece,2012,Sex,35.4 [27.9-43.6],300,0,35.4,27.9,43.6
139,GRC,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Greece,2012,Sex,29.6 [22.9-37.0],300,1,29.6,22.9,37.0
140,GRD,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Grenada,2012,Sex,37.7 [24.3-51.7],308,0,37.7,24.3,51.7
141,GRD,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Grenada,2012,Sex,25.4 [15.7-37.7],308,1,25.4,15.7,37.7
142,GTM,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guatemala,2012,Sex,26.0 [16.9-35.8],320,0,26.0,16.9,35.8
143,GTM,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guatemala,2012,Sex,18.6 [12.2-26.6],320,1,18.6,12.2,26.6
144,GUY,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guyana,2012,Sex,39.1 [25.6-54.3],328,0,39.1,25.6,54.3
145,GUY,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guyana,2012,Sex,21.6 [12.6-32.1],328,1,21.6,12.6,32.1
146,HND,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Honduras,2012,Sex,37.6 [14.0-65.6],340,0,37.6,14.0,65.6
147,HND,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Honduras,2012,Sex,27.3 [11.1-50.2],340,1,27.3,11.1,50.2
148,HRV,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Croatia,2012,Sex,21.0 [14.8-27.9],191,0,21.0,14.8,27.9
149,HRV,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Croatia,2012,Sex,19.0 [13.4-25.1],191,1,19.0,13.4,25.1
150,HTI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Haiti,2012,Sex,31.1 [9.9-59.1],332,0,31.1,9.9,59.1
151,HTI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Haiti,2012,Sex,18.5 [6.7-39.1],332,1,18.5,6.7,39.1
152,HUN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Hungary,2012,Sex,25.9 [19.5-32.8],348,0,25.9,19.5,32.8
